CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude,Day
19050601,ASSAULT/BATTERY MISD.,ASSAULT,HILLEGASS AVENUE &DERBY ST,2019-09-06 15:15:00,,,Friday
19037903,ROBBERY,ROBBERY,2400 DWIGHT WY,2019-07-12 15:45:00,37.864826,-122.260719,Friday
19060736,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2600 TELEGRAPH AV,2019-10-25 19:25:00,37.862927,-122.258784,Friday
19042425,THEFT MISD. (UNDER $950),LARCENY,1400 SHATTUCK AV,2019-08-02 20:47:00,37.881957,-122.269551,Friday
19046958,BURGLARY AUTO,BURGLARY - VEHICLE,2000 5TH ST,2019-08-23 12:40:00,37.867271,-122.298682,Friday
19047627,THEFT MISD. (UNDER $950),LARCENY,2700 SEVENTH ST,2019-08-23 12:00:00,37.856088,-122.29274,Friday
19060658,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SHATTUCK AV & ADDISON ST,2019-10-25 13:10:00,37.871167,-122.268285,Friday
19091878,BURGLARY AUTO,BURGLARY - VEHICLE,WARD ST,2019-09-06 16:00:00,,,Friday
19064978,NARCOTICS,DRUG VIOLATION,OREGON STREET & ADELINE ST,2019-11-15 09:48:00,37.857437,-122.268263,Friday
19054779,THEFT FELONY (OVER $950),LARCENY,700 HEINZ AV,2019-09-27 14:30:00,37.852934,-122.294575,Friday
19051685,ROBBERY,ROBBERY,1600 LINCOLN ST,2019-09-13 22:00:00,37.876084,-122.280105,Friday
19091389,THEFT MISD. (UNDER $950),LARCENY,2100 VINE ST,2019-07-05 11:00:00,37.880266,-122.269032,Friday
19063650,DISTURBANCE,DISORDERLY CONDUCT,BANCROFT WY & ELLSWORTH ST,2019-11-08 17:22:00,37.86814,-122.263736,Friday
19046056,SEXUAL ASSAULT FEL.,SEX CRIME,2632 COLLEGE AVE,2019-08-16 23:00:00,37.862608,-122.253598,Friday
19091981,THEFT FELONY (OVER $950),LARCENY,3100 TELEGRAPH AVE,2019-09-20 12:00:00,37.853875,-122.260048,Friday
19053102,VANDALISM,VANDALISM,1100 ALLSTON WY,2019-09-20 06:00:00,37.866528,-122.290227,Friday
19092809,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 SAN PABLO AV,2019-12-13 19:30:00,37.857714,-122.288536,Friday
19046955,BURGLARY AUTO,BURGLARY - VEHICLE,GILMAN STREET & CURTIS ST,2019-08-23 06:30:00,37.881435,-122.289994,Friday
19070669,BURGLARY AUTO,BURGLARY - VEHICLE,100 SEAWALL DR,2019-12-13 16:00:00,37.863611,-122.317566,Friday
19045525,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE &2ND ST,2019-08-16 20:06:00,,,Friday
19042535,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1500 GRIZZLY PEAK BL,2019-08-02 15:00:00,37.88222,-122.247955,Friday
19067827,ASSAULT/BATTERY MISD.,ASSAULT,2300 SAN PABLO AV,2019-11-29 15:51:00,37.864385,-122.290697,Friday
19092405,THEFT MISD. (UNDER $950),LARCENY,1900 ALLSTON WAY,2019-11-01 12:40:00,37.868785,-122.272701,Friday
19051514,ASSAULT/BATTERY MISD.,ASSAULT,2900 SACRAMENTO ST,2019-09-13 08:56:00,37.8549,-122.27945,Friday
19091708,THEFT MISD. (UNDER $950),LARCENY,1400 EIGHTH ST,2019-08-16 22:30:00,37.87783,-122.298557,Friday
19047711,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 BANCROFT WY,2019-08-23 15:00:00,37.869312,-122.254314,Friday
19092574,IDENTITY THEFT,FRAUD,1500 LE ROY AV,2019-10-04 09:00:00,37.881776,-122.260421,Friday
19035343,NARCOTICS,DRUG VIOLATION,SAN PABLO AV & MARIN AV,2019-06-28 23:29:00,37.886702,-122.297851,Friday
19046960,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1800 SOLANO AV,2019-08-23 02:27:00,37.891332,-122.279975,Friday
19037934,THEFT MISD. (UNDER $950),LARCENY,1900 4TH ST,2019-07-12 18:00:00,37.86825,-122.300093,Friday
19051547,DISTURBANCE,DISORDERLY CONDUCT,1900 SHATTUCK AV,2019-09-13 10:30:00,37.873687,-122.268616,Friday
19051562,THEFT MISD. (UNDER $950),LARCENY,1300 PARKER ST,2019-09-13 12:51:00,37.859906,-122.284931,Friday
19049391,VANDALISM,VANDALISM,1500 LINCOLN ST,2019-08-30 11:00:00,37.875796,-122.282477,Friday
19092193,BURGLARY AUTO,BURGLARY - VEHICLE,2100 MILVIA ST,2019-10-11 19:03:00,37.870603,-122.270612,Friday
19056233,ROBBERY,ROBBERY,1400 SHATTUCK AV,2019-10-04 18:32:00,37.881957,-122.269551,Friday
19092609,THEFT MISD. (UNDER $950),LARCENY,1000 JONES ST,2019-11-22 15:00:00,37.875963,-122.296521,Friday
19091735,BURGLARY AUTO,BURGLARY - VEHICLE,OXFORD STREET & ADDISON ST,2019-08-23 16:50:00,37.87146,-122.266052,Friday
19060662,ASSAULT/BATTERY FEL.,ASSAULT,2300 FIFTH ST,2019-10-25 13:14:00,37.86277,-122.297218,Friday
19045699,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,3200 CALIFORNIA ST,2019-08-16 22:00:00,37.849732,-122.276144,Friday
19059236,THEFT MISD. (UNDER $950),LARCENY,1200 5TH ST,2019-10-18 18:30:00,37.880756,-122.303056,Friday
19036505,THEFT FELONY (OVER $950),LARCENY,1000 KEITH AV,2019-07-05 11:00:00,37.890366,-122.266998,Friday
19091803,BURGLARY AUTO,BURGLARY - VEHICLE,700 ARLINGTON AVE,2019-08-30 22:05:00,37.897333,-122.276042,Friday
19092186,VANDALISM,VANDALISM,2000 FRANCISCO ST,2019-10-11 09:00:00,37.875391,-122.271141,Friday
19066936,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1300 CURTIS ST,2019-11-22 19:00:00,37.880891,-122.290189,Friday
19040829,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1500 BLAKE ST,2019-07-26 16:00:00,37.86139,-122.280449,Friday
